"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Austria","Males","low",50,0.0103137252418016,31,1,5e+05,0.989686274758198,994841.946,14641835.19,29.28367038
"2","Austria","Males","low",52,0.0120244196035285,31,1,494841.946,0.987975580396471,983736.31,13646993.244,27.5765047269256
"3","Austria","Males","low",54,0.0140672069219331,31,1,488894.364,0.985932793078067,970919.716,12663256.934,25.8980633442411
"4","Austria","Males","low",56,0.01650845019993,31,1,482025.352,0.98349154980007,956105.779,11692337.218,24.2513047937637
"5","Austria","Males","low",58,0.0194279186743327,31,1,474080.427,0.980572081325667,938970.955,10736231.439,22.6395545126736
"6","Austria","Males","low",60,0.0229214120215615,31,1,464890.528,0.977078587978438,919148.093,9797260.484,21.0660052612888
"7","Austria","Males","low",62,0.0271038551146816,31,1,454257.565,0.972896144885318,896227.352,8878112.391,19.534439132466
"8","Austria","Males","low",64,0.0321129233257939,31,1,441969.787,0.967887076674206,869785.883,7981885.039,18.0484871757221
"9","Austria","Males","low",66,0.0381132508937211,31,1,427816.096,0.961886749106279,839366.64,7112099.156,16.6112330331929
"10","Austria","Males","low",68,0.0453012548640508,31,1,411550.544,0.954698745135949,804503.512,6272732.516,15.226900283517
"11","Austria","Males","low",70,0.0539105659269334,31,1,392952.968,0.946089434073067,764795.022,5468229.004,13.8988795856072
"12","Austria","Males","low",72,0.0642179815638581,31,1,371842.054,0.935782018436142,719886.116,4703433.982,12.6298866722678
"13","Austria","Males","low",74,0.0765497253221644,31,1,348044.062,0.923450274677836,669551.943,3983547.866,11.4239239900745
"14","Austria","Males","low",76,0.0912875770946723,31,1,321507.881,0.908712422905328,613801.486,3313995.923,10.2834064459164
"15","Austria","Males","low",78,0.108874086430664,31,1,292293.605,0.891125913569336,552935.259,2700194.437,9.21088074080876
"16","Austria","Males","low",80,0.129815528461363,31,1,260641.654,0.870184471538637,487661.439,2147259.178,8.20831665929332
"17","Austria","Males","low",82,0.154680423393345,31,1,227019.785,0.845319576606655,419171.141,1659597.739,7.27717819034352
"18","Austria","Males","low",84,0.184090215382254,31,1,192151.356,0.815909784617746,349228.764,1240426.598,6.41881121751993
"19","Austria","Males","low",86,0.218697012130577,31,1,157077.408,0.781302987869423,280159.382,891197.834,5.63282834121002
"20","Austria","Males","low",88,0.259141144358478,31,1,123081.974,0.740858855641522,214643.843,611038.452,4.91833362664093
"21","Austria","Males","low",90,0.305979042279317,31,1,91561.869,0.694020957720683,155514.233,396394.609,4.27559609205424
"22","Austria","Males","low",92,0.359570588106669,31,1,63952.364,0.640429411893331,105326.113,240880.376,3.70200562425503
"23","Austria","Males","low",94,0.419917154800293,31,1,41373.749,0.580082845199707,65785.262,135554.263,3.19578254358913
"24","Austria","Males","low",96,0.486451761197012,31,1,24411.513,0.513548238802988,37331.746,69769.001,2.7542166312529
"25","Austria","Males","low",98,0.557808429899461,31,1,12920.233,0.442191570100539,18961.148,32437.255,2.37392736493086
"26","Austria","Males","low",100,0.631645212463175,31,1,6040.915,0.368354787536825,8506.246,13476.107,2.05035001021903
"27","Austria","Males","low",102,0.704656891542621,31,1,2465.331,0.295343108457379,3344.509,4969.861,1.78094176749162
"28","Austria","Males","low",104,0.772942674174561,31,1,879.178,0.227057325825439,1157.907,1625.352,1.55735486068549
"29","Austria","Males","low",106,0.832794348966675,31,1,278.729,0.167205651033325,360.895,467.445,1.36285421607235
"30","Austria","Males","low",108,0.881678702845234,31,1,82.166,0.118321297154766,106.55,106.55,1.12739055269478
"31","Austria","Males","low",110,1,31,NA,24.384,0,0,0,0
"32","Austria","Males","medium",50,0.00919148875606568,31,1,5e+05,0.990808511243934,995405.449,15160339.885,30.32067977
"33","Austria","Males","medium",52,0.0107246820734785,31,1,495405.449,0.989275317926521,985499.842,14164934.436,28.5919324532087
"34","Austria","Males","medium",54,0.0125565736177654,31,1,490094.393,0.987443426382235,974038.962,13179434.594,26.8904644266225
"35","Austria","Males","medium",56,0.0147470823590825,31,1,483944.569,0.985252917640917,960755.713,12205395.632,25.2191631132614
"36","Austria","Males","medium",58,0.0173682908811562,31,1,476811.144,0.982631709118844,945350.443,11244639.919,23.5813067402553
"37","Austria","Males","medium",60,0.0205068509465929,31,1,468539.299,0.979493149053407,927479.016,10299289.476,21.979848007934
"38","Austria","Males","medium",62,0.0242668329987645,31,1,458939.717,0.975733167001236,906749.903,9371810.46,20.4185636881622
"39","Austria","Males","medium",64,0.028773083594944,31,1,447810.186,0.971226916405056,882746.852,8465060.557,18.9010084470793
"40","Austria","Males","medium",66,0.0341751529304098,31,1,434936.666,0.96582484706959,855027.243,7582313.705,17.4305937509774
"41","Austria","Males","medium",68,0.0406518438096597,31,1,420090.577,0.95934815619034,823114.727,6727286.462,16.0108479588208
"42","Austria","Males","medium",70,0.0484164069022102,31,1,403024.15,0.95158359309779,786558.966,5904171.735,14.6459499681211
"43","Austria","Males","medium",72,0.057722354072972,31,1,383534.816,0.942277645927028,744955.949,5117612.769,13.3386959160377
"44","Austria","Males","medium",74,0.068869764963989,31,1,361421.133,0.931130235036011,697993.843,4372656.82,12.0928797265644
"45","Austria","Males","medium",76,0.0822117954846802,31,1,336572.71,0.91778820451532,645524.831,3674662.977,10.911082878588
"46","Austria","Males","medium",78,0.0981608206501332,31,1,308952.121,0.901839179349867,587631.644,3029138.146,9.79648491425543
"47","Austria","Males","medium",80,0.117193200067719,31,1,278679.523,0.882806799932281,524783.867,2441506.502,8.75157207646826
"48","Austria","Males","medium",82,0.139850961165364,31,1,246104.344,0.860149038834636,457886.419,1916722.635,7.77745344602709
"49","Austria","Males","medium",84,0.166737648983845,31,1,211782.075,0.833262351016155,388373.399,1458836.216,6.8760591014112
"50","Austria","Males","medium",86,0.198504080123026,31,1,176591.324,0.801495919876974,318264.776,1070462.817,6.04753491592636
