"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Belgium","Males","low",50,0.0078663642437674,31,1,5e+05,0.992133635756233,996065.398,15318131.486,30.636262972
"2","Belgium","Males","low",52,0.00924093760455031,31,1,496065.398,0.99075906239545,987547.777,14322066.088,28.8709075101333
"3","Belgium","Males","low",54,0.0108960970024482,31,1,491482.379,0.989103902997552,977611.471,13334518.311,27.1304657686966
"4","Belgium","Males","low",56,0.0128928712099662,31,1,486129.092,0.987107128790034,965994.984,12356906.84,25.4179478225235
"5","Belgium","Males","low",58,0.0153061503510805,31,1,479865.892,0.984693849648919,952395.058,11390911.856,23.7364330489645
"6","Belgium","Males","low",60,0.0182278813995215,31,1,472529.166,0.981772118600478,936451.646,10438516.798,22.0892678740095
"7","Belgium","Males","low",62,0.0217709804948612,31,1,463922.48,0.978229019505139,917750.859,9502065.152,20.4803415720704
"8","Belgium","Males","low",64,0.0260741001339193,31,1,453828.379,0.973925899866081,895836.534,8584314.293,18.9134415863604
"9","Belgium","Males","low",66,0.0313073987900091,31,1,442008.155,0.968692601209991,870181.776,7688477.759,17.392271105655
"10","Belgium","Males","low",68,0.037679456807894,31,1,428173.621,0.962320543192106,840225.536,6818295.983,15.9216748716583
"11","Belgium","Males","low",70,0.0454454527813448,31,1,412051.915,0.954554547218655,805399.472,5978070.447,14.5052096132558
"12","Belgium","Males","low",72,0.0549166377005597,31,1,393347.557,0.94508336229944,765110.499,5172670.975,13.14711251618
"13","Belgium","Males","low",74,0.0664709850851422,31,1,371762.942,0.933529014914858,718840.908,4407560.476,11.8520949248363
"14","Belgium","Males","low",76,0.0805645985527609,31,1,347077.966,0.919435401447239,666231.544,3688719.568,10.6237008037342
"15","Belgium","Males","low",78,0.0977429379853065,31,1,319153.578,0.902257062014693,607158.471,3022488.024,9.46564817712399
"16","Belgium","Males","low",80,0.118650054305311,31,1,288004.893,0.881349945694689,541884.275,2415329.553,8.38135855759801
"17","Belgium","Males","low",82,0.144032623345259,31,1,253879.382,0.855967376654741,471261.029,1873445.278,7.37391630854041
"18","Belgium","Males","low",84,0.174733419777248,31,1,217381.647,0.825266580222752,396861.775,1402184.249,6.44470500257376
"19","Belgium","Males","low",86,0.211665757860342,31,1,179480.128,0.788334242139658,321056.23,1005322.474,5.59528701101404
"20","Belgium","Males","low",88,0.255756300707976,31,1,141576.102,0.744243699292024,247025.963,684266.244,4.82639965723029
"21","Belgium","Males","low",90,0.307839025731388,31,1,105449.861,0.692160974268612,178532.001,437240.281,4.13793571098696
"22","Belgium","Males","low",92,0.368479960752511,31,1,73082.14,0.631520039247489,119343.984,258708.28,3.52817451514632
"23","Belgium","Males","low",94,0.437715389132479,31,1,46261.844,0.562284610867521,72393.304,139364.296,2.99480930174438
"24","Belgium","Males","low",96,0.514705144423694,31,1,26131.46,0.485294855576306,38933.962,66970.992,2.53551995613272
"25","Belgium","Males","low",98,0.597352013056529,31,1,12802.502,0.402647986943471,18075.731,28037.03,2.14822129255544
"26","Belgium","Males","low",100,0.682030175532689,31,1,5273.229,0.317969824467312,7038.755,9961.299,1.82725307868717
"27","Belgium","Males","low",102,0.763681820130942,31,1,1765.526,0.236318179869058,2231.991,2922.544,1.56903973560012
"28","Belgium","Males","low",104,0.836581417856122,31,1,466.465,0.163418582143878,562.152,690.553,1.36806765333163
"29","Belgium","Males","low",106,0.895832959033793,31,1,95.687,0.104167040966207,111.052,128.401,1.21818270179997
"30","Belgium","Males","low",108,0.9390537879772,31,1,15.365,0.0609462120228004,17.349,17.349,1.07115445906058
"31","Belgium","Males","low",110,1,31,NA,1.984,0,0,0,0
"32","Belgium","Males","medium",50,0.00736673640924901,31,1,5e+05,0.992633263590751,996316.722,15617029.878,31.234059756
"33","Belgium","Males","medium",52,0.00865678749489268,31,1,496316.722,0.991343212505107,988338.466,14620713.156,29.457982395273
"34","Belgium","Males","medium",54,0.0102104308382492,31,1,492021.744,0.989789569161751,979017.505,13632374.69,27.7059835821551
"35","Belgium","Males","medium",56,0.0120850640824872,31,1,486995.761,0.987914935917513,968111.277,12653357.185,25.9811994326263
"36","Belgium","Males","medium",58,0.0143511449042908,31,1,481115.516,0.985648855095709,955330.132,11685245.908,24.2861146758724
"37","Belgium","Males","medium",60,0.017095213840102,31,1,474214.616,0.982904786159898,940328.581,10729915.776,22.6245395605243
"38","Belgium","Males","medium",62,0.0204236019240004,31,1,466113.965,0.979576398076,922712.581,9789587.195,20.9998723038958
"39","Belgium","Males","medium",64,0.024466959116463,31,1,456598.616,0.975533040883537,902035.07,8866874.614,19.4161090998901
"40","Belgium","Males","medium",66,0.0293857518771738,31,1,445436.454,0.970614248122826,877793.641,7964839.544,17.8769567886375
"41","Belgium","Males","medium",68,0.0353768800828368,31,1,432357.187,0.964623119917163,849431.125,7087045.903,16.3867728087953
"42","Belgium","Males","medium",70,0.0426815438253096,31,1,417073.938,0.95731845617469,816357.882,6237614.778,14.9497940985908
"43","Belgium","Males","medium",72,0.0515944308322857,31,1,399283.944,0.948405569167714,777999.573,5421256.896,13.5704591871323
"44","Belgium","Males","medium",74,0.062474164608899,31,1,378715.629,0.937525835391101,733819.391,4643257.323,12.2523104872783
"45","Belgium","Males","medium",76,0.075754702457887,31,1,355103.762,0.924245297542113,683360.037,3909437.932,10.9997460239964
"46","Belgium","Males","medium",78,0.091956923952271,31,1,328256.275,0.908043076047729,626400.266,3226077.895,9.8170608452
"47","Belgium","Males","medium",80,0.111698887600006,31,1,298143.991,0.888301112399994,563082.693,2599677.629,8.70737140040853
"48","Belgium","Males","medium",82,0.135701989842631,31,1,264938.702,0.864298010157369,494040.273,2036594.936,7.67364610375902
"49","Belgium","Males","medium",84,0.164788319215682,31,1,229101.571,0.835211680784318,420611.263,1542554.663,6.71849257145127
"50","Belgium","Males","medium",86,0.199861625870864,31,1,191509.692,0.800138374129136,344911.22,1121943.4,5.84263139604118
"51","Belgium","Males","medium",88,0.241860395552014,31,1,153401.528,0.758139604447986,269897.25,777032.18,5.04811262121553
"52","Belgium","Males","medium",90,0.291666829702664,31,1,116495.722,0.708333170297336,199223.189,507134.93,4.33389437124223
"53","Belgium","Males","medium",92,0.34995153287781,31,1,82727.467,0.65004846712219,136712.211,307911.741,3.69921626299004
"54","Belgium","Males","medium",94,0.416934307169846,31,1,53984.744,0.583065692830154,85675.281,171199.53,3.1428408041846
"55","Belgium","Males","medium",96,0.49205493915742,31,1,31690.537,0.50794506084258,47987.869,85524.249,2.66136748302667
"56","Belgium","Males","medium",98,0.57358804850159,31,1,16297.332,0.42641195149841,23419.596,37536.38,2.25259168194946
"57","Belgium","Males","medium",100,0.658317655163223,31,1,7122.264,0.341682344836777,9685.206,14116.784,1.91302692738684
"58","Belgium","Males","medium",102,0.741504186876563,31,1,2562.942,0.258495813123437,3298.975,4431.578,1.63618056836869
"59","Belgium","Males","medium",104,0.817454479443491,31,1,736.033,0.182545520556509,902.719,1132.603,1.42099960974404
"60","Belgium","Males","medium",106,0.880860872397033,31,1,166.686,0.119139127602967,196.15,229.884,1.24732615799344
"61","Belgium","Males","medium",108,0.928539790755919,31,1,29.464,0.0714602092440813,33.734,33.734,1.07763065182526
"62","Belgium","Males","medium",110,1,31,NA,4.27,0,0,0,0
"63","Belgium","Males","high",50,0.00645996229464392,31,1,5e+05,0.993540037705356,996768.969,16224759.542,32.449519084
