"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Czechia","Males","low",50,0.0159016087234614,31,1,5e+05,0.984098391276539,992047.079,13308347.607,26.616695214
"2","Czechia","Males","low",52,0.0178560924345897,31,1,492047.079,0.98214390756541,975308.516,12316300.528,25.0295320487563
"3","Czechia","Males","low",54,0.0201879428520377,31,1,483261.437,0.979812057147962,956777.037,11340992.012,23.4656358536942
"4","Czechia","Males","low",56,0.0229738631222689,31,1,473515.6,0.977026136877731,936166.1,10384214.975,21.9275983148834
"5","Czechia","Males","low",58,0.0263083553859389,31,1,462650.5,0.973691644614061,913147.394,9448048.875,20.4188774925723
"6","Czechia","Males","low",60,0.0303079571228156,31,1,450496.894,0.969692042877184,887359.227,8534901.481,18.9426779472546
"7","Czechia","Males","low",62,0.0351165052981023,31,1,436862.333,0.964883494701898,858401.451,7647542.254,17.5026074024234
"8","Czechia","Males","low",64,0.040911645043447,31,1,421539.118,0.959088354956553,825858.047,6789140.803,16.1023746396725
"9","Czechia","Males","low",66,0.0479128182227742,31,1,404318.929,0.952087181777226,789281.485,5963282.756,14.7453876561749
"10","Czechia","Males","low",68,0.0563909620487205,31,1,384962.556,0.943609037951279,748232.721,5174001.271,13.4361839259289
"11","Czechia","Males","low",70,0.0666800925830457,31,1,363270.165,0.933319907416954,702353.898,4425768.55,12.1783288128621
"12","Czechia","Males","low",72,0.0791907959039297,31,1,339083.733,0.92080920409607,651356.691,3723414.652,10.9751109209569
"13","Czechia","Males","low",74,0.0944253209918886,31,1,312272.958,0.905574679008111,595101.094,3072057.961,9.83098835981269
"14","Czechia","Males","low",76,0.112993329678354,31,1,282828.136,0.887006670321646,533759.854,2476956.867,8.74994060975696
"15","Czechia","Males","low",78,0.135626195995108,31,1,250931.718,0.864373804004892,467908.172,1943197.013,7.73491349937776
"16","Czechia","Males","low",80,0.163185732700044,31,1,216976.454,0.836814267299956,398644.113,1475288.841,6.78918841711384
"17","Czechia","Males","low",82,0.196659898118645,31,1,181667.659,0.803340101881356,327729.026,1076644.728,5.91526849006587
"18","Czechia","Males","low",84,0.237132862952601,31,1,146061.367,0.762867137047399,257618.032,748915.702,5.11512411766985
