"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Denmark","Males","low",50,0.0101482031206885,31,1,5e+05,0.989851796879312,994926.08,13074182.595,26.14836519
"2","Denmark","Males","low",52,0.0124633748801835,31,1,494926.08,0.987536625119817,983685.156,12079256.515,24.4049953299305
"3","Denmark","Males","low",54,0.0153129372340752,31,1,488759.076,0.984687062765925,970039.562,11095571.359,22.6992083146838
"4","Denmark","Males","low",56,0.0188160221057439,31,1,481280.486,0.981183977894256,953513.596,10125531.797,21.0353510714853
"5","Denmark","Males","low",58,0.0231162181845817,31,1,472233.11,0.976883781815418,933567.577,9172018.201,19.418219437941
"6","Denmark","Males","low",60,0.0283857500405536,31,1,461334.467,0.971614249959446,909596.265,8238450.624,17.8523713698317
"7","Denmark","Males","low",62,0.0348300279727732,31,1,448261.798,0.965169972027227,880930.819,7328854.359,16.3428697247744
"8","Denmark","Males","low",64,0.0426924352560313,31,1,432669.021,0.957307564743969,846908.628,6447923.54,14.8947874662628
"9","Denmark","Males","low",66,0.0522591135743768,31,1,414239.607,0.947740886425623,806865.224,5601014.912,13.5118802675292
"10","Denmark","Males","low",68,0.0638633539934272,31,1,392625.617,0.936136646006573,760229.481,4794149.688,12.199497491073
"11","Denmark","Males","low",70,0.0778889836516997,31,1,367603.864,0.9221110163483,706652.637,4033920.207,10.9606345974338
"12","Denmark","Males","low",72,0.0947718381281439,31,1,339048.773,0.905228161871856,646067.047,3327267.57,9.79844889019245
"13","Denmark","Males","low",74,0.114998005204586,31,1,307018.274,0.885001994795414,578857.036,2681200.523,8.71553861745452
"14","Denmark","Males","low",76,0.139096999238275,31,1,271838.762,0.860903000761725,506028.83,2102343.487,7.71374799193695
"15","Denmark","Males","low",78,0.167627371203433,31,1,234190.068,0.832372628796567,429333.665,1596314.657,6.79369964697747
"16","Denmark","Males","low",80,0.201151506314776,31,1,195143.597,0.798848493685223,351270.965,1166980.992,5.95494853221712
"17","Denmark","Males","low",82,0.240195612691775,31,1,156127.368,0.759804387308225,275025.4,815710.027,5.197004679284
"18","Denmark","Males","low",84,0.285190413038841,31,1,118898.032,0.714809586961159,204167.618,540684.627,4.51740689644035
"19","Denmark","Males","low",86,0.336388338096236,31,1,85269.586,0.663611661903764,142132.586,336517.009,3.9138563148792
"20","Denmark","Males","low",88,0.393755045171567,31,1,56863,0.606244954828433,91589.675,194384.423,3.38264036667488
