"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Estonia","Males","low",50,0.0217966304382526,31,1,5e+05,0.978203369561747,989097.82,12059752.935,24.11950587
"2","Estonia","Males","low",52,0.0246557670094908,31,1,489097.82,0.975344232990509,966138.058,11070655.115,22.6332546251385
"3","Estonia","Males","low",54,0.0279972677376231,31,1,477040.238,0.972002732262377,940736.018,10104517.057,21.1789315581827
"4","Estonia","Males","low",56,0.0319080884861603,31,1,463695.78,0.96809191151384,912613.213,9163781.039,19.7588877632069
"5","Estonia","Males","low",58,0.0364918101232751,31,1,448917.433,0.963508189876725,881476.804,8251167.826,18.3759546036983
"6","Estonia","Males","low",60,0.0418717958612678,31,1,432559.371,0.958128204138732,847029.989,7369691.022,17.0327922502899
"7","Estonia","Males","low",62,0.0481948863255748,31,1,414470.618,0.951805113674425,808993.649,6522661.033,15.7323836125917
"8","Estonia","Males","low",64,0.0556356766173367,31,1,394523.031,0.944364323382663,767126.877,5713667.384,14.4772266606531
"9","Estonia","Males","low",66,0.0644013906005984,31,1,372603.846,0.935598609399402,721239.249,4946540.507,13.2700705244346
"10","Estonia","Males","low",68,0.0747373118402424,31,1,348635.403,0.925262688159758,671236.193,4225301.258,12.1137128949188
"11","Estonia","Males","low",70,0.0869326319702772,31,1,322600.79,0.913067368029723,617201.261,3554065.065,11.0107777194994
"12","Estonia","Males","low",72,0.101326411701062,31,1,294600.471,0.898673588298938,559386.846,2936863.804,9.96254579511327
"13","Estonia","Males","low",74,0.11831308204887,31,1,264786.375,0.88168691795113,498305.301,2377476.958,8.97216366153476
"14","Estonia","Males","low",76,0.138346494353573,31,1,233518.926,0.861653505646427,434792.97,1879171.657,8.04031754098345
"15","Estonia","Males","low",78,0.161940891891093,31,1,201274.044,0.838059108108907,370007.947,1444378.687,7.16921666484211
"16","Estonia","Males","low",80,0.189666245338005,31,1,168733.903,0.810333754661995,305531.565,1074370.74,6.36027307601207
"17","Estonia","Males","low",82,0.22213409504003,31,1,136797.662,0.77786590495997,243266.268,768839.175,5.61324895235117
"18","Estonia","Males","low",84,0.259968352315013,31,1,106468.606,0.740031647684987,185324.059,525572.907,4.92915681818295
"19","Estonia","Males","low",86,0.303753567441606,31,1,78855.453,0.696246432558394,133812.747,340248.848,4.30681463226101
"20","Estonia","Males","low",88,0.353951491810858,31,1,54957.294,0.646048508189142,90521.471,206436.101,3.74641424551382
"21","Estonia","Males","low",90,0.41077663608272,31,1,35564.177,0.58922336391728,56573.143,115914.63,3.24587965693965
"22","Estonia","Males","low",92,0.474025586425195,31,1,21008.966,0.525974413574805,32119.734,59341.487,2.80502315780143
"23","Estonia","Males","low",94,0.542867564330751,31,1,11110.768,0.457132435669249,16253.141,27221.753,2.42080500689257
"24","Estonia","Males","low",96,0.61563090490223,31,1,5142.373,0.38436909509777,7169.849,10968.612,2.08979157780185
"25","Estonia","Males","low",98,0.689664982603641,31,1,2027.476,0.310335017396359,2691.332,3798.763,1.81182412729833
"26","Estonia","Males","low",100,0.761409220911749,31,1,663.856,0.238590779088251,840.499,1107.431,1.58340107092033
"27","Estonia","Males","low",102,0.826818123374569,31,1,176.643,0.173181876625431,214.404,266.932,1.40027764356706
"28","Estonia","Males","low",104,0.882194688182718,31,1,37.761,0.117805311817282,44.236,52.528,1.25538418516478
"29","Estonia","Males","low",106,0.925219882189218,31,1,6.475,0.0747801178107816,7.327,8.292,1.16687639750952
"30","Estonia","Males","low",108,0.955660671480006,31,1,0.852,0.0443393285199944,0.965,0.965,1.08749649287233
"31","Estonia","Males","low",110,1,31,NA,0.113,0,0,0,0
"32","Estonia","Males","medium",50,0.0188553535465916,31,1,5e+05,0.981144646453408,990572.18,12773060.34,25.54612068
"33","Estonia","Males","medium",52,0.0213398982138738,31,1,490572.18,0.978660101786126,970679.201,11782488.16,24.0169941957537
"34","Estonia","Males","medium",54,0.0242450584877245,31,1,480107.021,0.975754941512275,948582.863,10811808.959,22.5181421227408
"35","Estonia","Males","medium",56,0.0276471448741365,31,1,468475.842,0.972352855125864,924008.042,9863226.096,21.052022878837
"36","Estonia","Males","medium",58,0.0316372248641563,31,1,455532.2,0.968362775135844,896663.751,8939218.054,19.6215419672005
"37","Estonia","Males","medium",60,0.0363239955367637,31,1,441131.551,0.963676004463236,866254.825,8042554.303,18.2292413022313
"38","Estonia","Males","medium",62,0.0418371777970653,31,1,425123.274,0.958162822202935,832475.798,7176299.478,16.8778234204391
"39","Estonia","Males","medium",64,0.0483314940490714,31,1,407352.524,0.951668505950929,795033.689,6343823.68,15.5702667460009
"40","Estonia","Males","medium",66,0.0559912759001285,31,1,387681.165,0.944008724099872,753665.994,5548789.991,14.3092812578855
"41","Estonia","Males","medium",68,0.0650357141814058,31,1,365984.829,0.934964285818594,708190.855,4795123.997,13.0979182140808
"42","Estonia","Males","medium",70,0.0757246976727428,31,1,342206.026,0.924275302327257,658529.069,4086933.142,11.9381510370515
"43","Estonia","Males","medium",72,0.0883650702646404,31,1,316323.043,0.91163492973536,604728.346,3428404.073,10.8327448249699
"44","Estonia","Males","medium",74,0.103316940054079,31,1,288405.303,0.896683059945921,547060.031,2823675.727,9.78421712384656
"45","Estonia","Males","medium",76,0.120999355985398,31,1,258654.728,0.879000644014602,486056.814,2276615.696,8.79442252149954
"46","Estonia","Males","medium",78,0.141894169220335,31,1,227402.086,0.858105830779665,422605.752,1790558.882,7.8657445329927
"47","Estonia","Males","medium",80,0.166546140304677,31,1,195203.666,0.833453859695323,357971.915,1367953.13,6.99866553629121
"48","Estonia","Males","medium",82,0.195556249956879,31,1,162768.249,0.804443750043121,293784.816,1009981.215,6.19488060590986
"49","Estonia","Males","medium",84,0.229563644177509,31,1,131016.567,0.770436355822491,232055.309,716196.399,5.45506326847882
"50","Estonia","Males","medium",86,0.269209696521167,31,1,101038.742,0.730790303478833,174980.801,484141.09,4.77851146558736
"51","Estonia","Males","medium",88,0.315075536261623,31,1,73942.059,0.684924463738377,124687.447,309160.289,4.16524716884911
"52","Estonia","Males","medium",90,0.367582835740811,31,1,50745.388,0.632417164259189,82945.306,184472.842,3.61503444786615
"53","Estonia","Males","medium",92,0.426848478581252,31,1,32199.918,0.573151521418748,50769.095,101527.536,3.12590991555746
"54","Estonia","Males","medium",94,0.492490463752523,31,1,18569.177,0.507509536247477,28103.566,50758.441,2.69599591287048
"55","Estonia","Males","medium",96,0.563400647479924,31,1,9534.389,0.436599352520076,13798.34,22654.875,2.32392907195214
"56","Estonia","Males","medium",98,0.63753588447674,31,1,4263.951,0.36246411552326,5882.473,8856.535,2.00494667689476
"57","Estonia","Males","medium",100,0.711832826725962,31,1,1618.522,0.288167173274038,2129.824,2974.062,1.73936578147303
"58","Estonia","Males","medium",102,0.782401097718372,31,1,511.302,0.217598902281628,644.035,844.238,1.52308785228306
"59","Estonia","Males","medium",104,0.84513164069941,31,1,132.733,0.15486835930059,161.089,200.203,1.35386784113325
"60","Estonia","Males","medium",106,0.896682507294788,31,1,28.356,0.103317492705212,33.34,39.114,1.21807433326759
"61","Estonia","Males","medium",108,0.935473943380498,31,1,4.984,0.0645260566195016,5.774,5.774,1.09248353540819
"62","Estonia","Males","medium",110,1,31,NA,0.79,0,0,0,0
"63","Estonia","Males","high",50,0.0131290692391593,31,1,5e+05,0.986870930760841,993431.767,14626090.724,29.252181448
"64","Estonia","Males","high",52,0.0148631098856148,31,1,493431.767,0.985136890114385,979529.946,13632658.957,27.6272062525971
"65","Estonia","Males","high",54,0.0168923580024908,31,1,486098.179,0.983107641997509,963985.738,12653129.011,26.0280135602217
"66","Estonia","Males","high",56,0.0192709996198667,31,1,477887.559,0.980729000380133,946574.344,11689143.273,24.4572052141905
"67","Estonia","Males","high",58,0.022063943883759,31,1,468686.785,0.977936056116241,927039.231,10742568.929,22.916935068546
"68","Estonia","Males","high",60,0.0253490126745286,31,1,458352.446,0.974650987325471,905100.349,9815529.698,21.4103382037719
"69","Estonia","Males","high",62,0.0292195746176722,31,1,446747.903,0.970780425382328,880461.602,8910429.349,19.9397450003083
"70","Estonia","Males","high",64,0.0337877018833395,31,1,433713.699,0.96621229811666,852785.445,8029967.747,18.5081369101171
"71","Estonia","Males","high",66,0.0391879331430761,31,1,419071.746,0.960812066856924,821742.868,7177182.302,17.1190016240719
"72","Estonia","Males","high",68,0.0455817244718195,31,1,402671.122,0.95441827552818,787015.855,6355439.434,15.7746396657647
"73","Estonia","Males","high",70,0.0531626558915665,31,1,384344.733,0.946837344108433,748295.865,5568423.579,14.4782311184876
"74","Estonia","Males","high",72,0.0621624248566891,31,1,363951.132,0.937837575143311,705319.992,4820127.714,13.232593684187
"75","Estonia","Males","high",74,0.0728575835257892,31,1,341368.86,0.927142416474211,657918.755,4114807.722,12.0410307631656
"76","Estonia","Males","high",76,0.0855768393446512,31,1,316549.895,0.914423160655349,606083.65,3456888.967,10.9060948831128
"77","Estonia","Males","high",78,0.100708500150897,31,1,289533.755,0.899291499849103,549996.453,2850805.317,9.83006959911281
"78","Estonia","Males","high",80,0.118707248892492,31,1,260462.698,0.881292751107508,490111.354,2300808.864,8.81560798134941
"79","Estonia","Males","high",82,0.140098798181132,31,1,229648.656,0.859901201818868,427261.841,1810697.51,7.86471010926483
"80","Estonia","Males","high",84,0.165479993963728,31,1,197613.185,0.834520006036272,362667.445,1383435.669,6.97844929959611
"81","Estonia","Males","high",86,0.195510486510416,31,1,165054.26,0.804489513489584,298028.575,1020768.224,6.15921815725468
"82","Estonia","Males","high",88,0.230890065806002,31,1,132974.315,0.769109934193998,235458.169,722739.649,5.40598310003966
"83","Estonia","Males","high",90,0.272313203777777,31,1,102483.854,0.727686796222223,177304.173,487281.48,4.71989372634762
"84","Estonia","Males","high",92,0.32038968501703,31,1,74820.319,0.67961031498297,125939.741,309977.307,4.10002844402941
"85","Estonia","Males","high",94,0.375518757157144,31,1,51119.422,0.624481242842856,83335.626,184037.566,3.54572942920722
"86","Estonia","Males","high",96,0.43770700393867,31,1,32216.204,0.562292996061331,50636.579,100701.94,3.05532596991565
"87","Estonia","Males","high",98,0.506332726615814,31,1,18420.375,0.493667273384186,27791.677,50065.361,2.62562310514402
"88","Estonia","Males","high",100,0.579889905430286,31,1,9371.302,0.420110094569714,13538.883,22273.684,2.25605636150786
"89","Estonia","Males","high",102,0.655798233155154,31,1,4167.581,0.344201766844846,5764.188,8734.801,1.94144649914872
"90","Estonia","Males","high",104,0.730430685192108,31,1,1596.607,0.269569314807892,2118.754,2970.613,1.67284390028552
"91","Estonia","Males","high",106,0.799534313462333,31,1,522.147,0.200465686537667,668.93,851.859,1.43648302977555
"92","Estonia","Males","high",108,0.859107316205262,31,1,146.783,0.140892683794738,182.929,182.929,1.14073325639776
"93","Estonia","Males","high",110,1,31,NA,36.146,0,0,0,0
"94","Estonia","Females","low",50,0.00514031822144356,31,1,5e+05,0.994859681778556,997429.203,16509418.784,33.018837568
"95","Estonia","Females","low",52,0.00602725501470866,31,1,497429.203,0.993972744985291,991860.509,15511989.581,31.183898647588
"96","Estonia","Females","low",54,0.00711193879661868,31,1,494431.306,0.992888061203381,985346.861,14520129.072,29.3665618383588
"97","Estonia","Females","low",56,0.00844255632676775,31,1,490915.555,0.991557443673232,977689.834,13534782.211,27.5694220855674
"98","Estonia","Females","low",58,0.0100800399854408,31,1,486774.279,0.989919960014559,968646.276,12557092.377,25.7952234981865
"99","Estonia","Females","low",60,0.0121016076435745,31,1,481871.997,0.987898392356426,957918.336,11588446.101,24.0472769538545
"100","Estonia","Females","low",62,0.0146053144777115,31,1,476046.339,0.985394685522288,945146.988,10630527.765,22.3291487159667
"101","Estonia","Females","low",64,0.0177158999579733,31,1,469100.649,0.982284100042027,929901.792,9685380.777,20.6448024257823
"102","Estonia","Females","low",66,0.0215922813128847,31,1,460801.143,0.978407718687115,911658.798,8755478.985,18.9984780377043
"103","Estonia","Females","low",68,0.026437118050079,31,1,450857.655,0.973562881949921,889807.67,7843820.187,17.3952795159268
"104","Estonia","Females","low",70,0.0325089393330345,31,1,438950.015,0.967491060666966,863649.375,6954012.517,15.8398954905518
"105","Estonia","Females","low",72,0.0401373623782921,31,1,424699.36,0.959862637621708,832368.111,6090363.142,14.3377010212156
"106","Estonia","Females","low",74,0.0497418855167121,31,1,407668.751,0.950258114483288,795078.878,5257995.031,12.8947772725188
"107","Estonia","Females","low",76,0.0618545185826314,31,1,387410.127,0.938145481417369,750891.67,4462916.153,11.5167247769412
"108","Estonia","Females","low",78,0.0771459405924993,31,1,363481.543,0.922854059407501,698958.651,3712024.483,10.2091050043315
"109","Estonia","Females","low",80,0.0964536408996862,31,1,335477.108,0.903546359100314,638648.082,3013065.832,8.97804940977886
"110","Estonia","Females","low",82,0.120808082888669,31,1,303170.974,0.879191917111331,569766.19,2374417.75,7.8285859426159
"111","Estonia","Females","low",84,0.151448501031179,31,1,266595.216,0.848551498968821,492876.902,1804651.56,6.7660014134162
"112","Estonia","Females","low",86,0.189812325989006,31,1,226281.686,0.810187674010994,409664.4,1311774.658,5.7938695415341
"113","Estonia","Females","low",88,0.237470117886641,31,1,183382.714,0.762529882113359,323283.86,902110.258,4.91574354397045
"114","Estonia","Females","low",90,0.295960870351444,31,1,139901.146,0.704039129648556,238462.576,578826.398,4.13270357005593
"115","Estonia","Females","low",92,0.366464267023267,31,1,98561.43,0.633535732976733,161093.701,340363.822,3.44580486882698
"116","Estonia","Females","low",94,0.449242011780874,31,1,62532.271,0.550757988219126,97106.415,179270.121,2.85372601197885
"117","Estonia","Females","low",96,0.542829123297504,31,1,34574.144,0.457170876702496,50542.24,82163.706,2.35386776113857
"118","Estonia","Females","low",98,0.643130539850663,31,1,15968.096,0.356869460149337,21824.593,31621.466,1.9434577015816
"119","Estonia","Females","low",100,0.742940770346896,31,1,5856.497,0.257059229653104,7466.69,9796.873,1.61773546104644
"120","Estonia","Females","low",102,0.832807854157363,31,1,1610.193,0.167192145842637,1924.737,2330.183,1.37369373102824
"121","Estonia","Females","low",104,0.903931035927907,31,1,314.544,0.0960689640720925,356.251,405.446,1.20234614474754
"122","Estonia","Females","low",106,0.952076033216662,31,1,41.707,0.0479239667833376,45.34,49.195,1.09801398503562
"123","Estonia","Females","low",108,0.979422684886304,31,1,3.633,0.0205773151136961,3.855,3.855,1.03400316580396
"124","Estonia","Females","low",110,1,31,NA,0.222,0,0,0,0
"125","Estonia","Females","medium",50,0.0052210161929222,31,1,5e+05,0.994778983807078,997389.199,16443605.405,32.88721081
