"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","France","Males","low",50,0.016374225131905,31,1,5e+05,0.983625774868095,991810.221,14403975.332,28.807950664
"2","France","Males","low",52,0.0178110602919144,31,1,491810.221,0.982188939708086,974863.126,13412165.111,27.2691094974346
"3","France","Males","low",54,0.0195235677481519,31,1,483052.905,0.980476432251848,956686.556,12437301.985,25.744067711076
"4","France","Males","low",56,0.0215610024976528,31,1,473633.651,0.978438997502347,937068.587,11480615.429,24.2353538946671
"5","France","Males","low",58,0.0239841221498308,31,1,463434.936,0.976015877850169,915776.618,10543546.842,22.7462324072683
"6","France","Males","low",60,0.0268678389519148,31,1,452341.682,0.973132161048085,892554.071,9627770.224,21.279323083108
"7","France","Males","low",62,0.0303045585141294,31,1,440212.389,0.969695441485871,867102.422,8735216.153,19.8380162571437
"8","France","Males","low",64,0.0344083718409051,31,1,426890.033,0.965591628159095,839122.591,7868113.731,18.4259276861672
"9","France","Males","low",66,0.039320302343338,31,1,412232.558,0.960679697656662,808278.131,7028991.14,17.045585518507
"10","France","Males","low",68,0.0452148449001561,31,1,396045.573,0.954785155099844,774206.997,6220713.009,15.7014571934922
"11","France","Males","low",70,0.052308062868646,31,1,378161.424,0.947691937131354,736576.777,5446506.012,14.3967911554145
"12","France","Males","low",72,0.060867517285181,31,1,358415.353,0.939132482714819,695056.679,4709929.235,13.1349424036916
"13","France","Males","low",74,0.0712242638104241,31,1,336641.326,0.928775736189576,649347.824,4014872.556,11.9199644098425
"14","France","Males","low",76,0.0837870188196772,31,1,312706.498,0.916212981180323,599260.365,3365524.732,10.7560348507865
"15","France","Males","low",78,0.0990582807692764,31,1,286553.867,0.900941719230724,544780.128,2766264.367,9.64684149283082
"16","France","Males","low",80,0.11765154984797,31,1,258226.261,0.88234845015203,486142.466,2221484.239,8.596022987796
"17","France","Males","low",82,0.140307575567237,31,1,227916.205,0.859692424432764,423922.305,1735341.773,7.60704975080006
"18","France","Males","low",84,0.167905397872322,31,1,196006.1,0.832094602127678,359182.086,1311419.468,6.68375628787502
"19","France","Males","low",86,0.201460283049337,31,1,163175.986,0.798539716950663,293566.846,952237.382,5.82844282720817
"20","France","Males","low",88,0.242094819418215,31,1,130390.86,0.757905180581784,229305.234,658670.536,5.04348412460903
"21","France","Males","low",90,0.290960940116959,31,1,98914.374,0.709039059883041,169147.177,429365.302,4.33085681143788
"22","France","Males","low",92,0.349080154072071,31,1,70232.803,0.650919845927929,116056.115,260218.125,3.69140225770951
"23","France","Males","low",94,0.417061076834043,31,1,45823.312,0.582938923165957,72654.259,144162.01,3.12573028956765
"24","France","Males","low",96,0.494660247603759,31,1,26830.947,0.505339752396241,40533.622,71507.751,2.63426612741927
"25","France","Males","low",98,0.580202023591671,31,1,13702.675,0.419797976408329,19594.447,30974.129,2.21411977734892
"26","France","Males","low",100,0.670007565612758,31,1,5891.772,0.329992434387242,7944.65,11379.682,1.86477024566721
"27","France","Males","low",102,0.75821585241187,31,1,2052.878,0.24178414758813,2610.513,3435.032,1.58334666238341
