"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Slovenia","Males","low",50,0.00984778667127923,31,1,5e+05,0.990152213328721,995075.035,14562798.046,29.125596092
"2","Slovenia","Males","low",52,0.0113641568743979,31,1,495075.035,0.988635843125602,984526.535,13567723.011,27.4037072245544
"3","Slovenia","Males","low",54,0.0131990906135581,31,1,489451.5,0.986800909386442,972450.371,12583196.476,25.7057428182202
"4","Slovenia","Males","low",56,0.0154227246013003,31,1,482998.871,0.9845772753987,958562.233,11610746.105,24.0347539757604
"5","Slovenia","Males","low",58,0.0181217857302293,31,1,475563.362,0.981878214269771,942529.288,10652183.872,22.3940697782694
"6","Slovenia","Males","low",60,0.0214035614485732,31,1,466965.926,0.978596438551427,923959.754,9709654.584,20.7872728517999
"7","Slovenia","Males","low",62,0.0254008177629838,31,1,456993.828,0.974599182237016,902404.775,8785694.83,19.2184307753306
"8","Slovenia","Males","low",64,0.0302778664821827,31,1,445410.947,0.969722133517817,877370.123,7883290.055,17.6915965610459
"9","Slovenia","Males","low",66,0.0362380057001584,31,1,431959.176,0.963761994299842,848297.014,7005919.932,16.2107518157122
"10","Slovenia","Males","low",68,0.0435325637638403,31,1,416337.838,0.95646743623616,814593.36,6157622.918,14.7807698915512
"11","Slovenia","Males","low",70,0.0524717471714066,31,1,398255.522,0.947528252828593,775676.01,5343029.558,13.4057183662888
"12","Slovenia","Males","low",72,0.063437391010794,31,1,377420.488,0.936562608989206,730967.191,4567353.548,12.0898037349967
"13","Slovenia","Males","low",74,0.0768974733318528,31,1,353546.703,0.923102526668147,679995.241,3836386.357,10.8380051293262
"14","Slovenia","Males","low",76,0.0934217735646173,31,1,326448.538,0.906578226435383,622514.287,3156391.116,9.65425882657411
"15","Slovenia","Males","low",78,0.113697148571356,31,1,296065.749,0.886302851428644,558621.356,2533876.829,8.54243893545525
"16","Slovenia","Males","low",80,0.138539277793449,31,1,262555.607,0.861460722206551,488910.466,1975255.473,7.50579454170447
"17","Slovenia","Males","low",82,0.168894954100946,31,1,226354.859,0.831105045899054,414692.158,1486345.007,6.54783997398128
"18","Slovenia","Males","low",84,0.20582448370079,31,1,188337.299,0.79417551629921,338143.411,1071652.849,5.67021551346467
"19","Slovenia","Males","low",86,0.250446917857932,31,1,149806.112,0.749553082142068,262359.916,733509.438,4.87478189016896
"20","Slovenia","Males","low",88,0.303821655448035,31,1,112553.804,0.696178344551965,191185.794,471149.522,4.16136188540284
"21","Slovenia","Males","low",90,0.366730609432778,31,1,78631.99,0.633269390567222,128713.245,279963.728,3.53013441885434
"22","Slovenia","Males","low",92,0.439323685444535,31,1,50081.255,0.560676314555465,78462.036,151250.483,2.97979809403335
"23","Slovenia","Males","low",94,0.520617021311567,31,1,28380.781,0.479382978688433,42287.883,72788.447,2.50797789157788
"24","Slovenia","Males","low",96,0.607925220431694,31,1,13907.102,0.392074779568306,19624.561,30500.564,2.11192118022895
"25","Slovenia","Males","low",98,0.696500302049737,31,1,5717.459,0.303499697950263,7636.651,10876.003,1.78786179487702
"26","Slovenia","Males","low",100,0.779881996666923,31,1,1919.192,0.220118003333077,2439.559,3239.352,1.53308732346362
"27","Slovenia","Males","low",102,0.851419124117215,31,1,520.367,0.148580875882785,635.209,799.793,1.34107540503327
"28","Slovenia","Males","low",104,0.906629191480526,31,1,114.842,0.0933708085194735,136.039,164.584,1.2133683665732
"29","Slovenia","Males","low",106,0.944861147928592,31,1,21.197,0.0551388520714083,24.605,28.545,1.14317897294293
"30","Slovenia","Males","low",108,0.968861821778129,31,1,3.408,0.0311381782218712,3.94,3.94,1.07808668765063
"31","Slovenia","Males","low",110,1,31,NA,0.532,0,0,0,0
"32","Slovenia","Males","medium",50,0.00860272818074985,31,1,5e+05,0.99139727181925,995697.784,15155200.771,30.310401542
"33","Slovenia","Males","medium",52,0.00992959815153441,31,1,495697.784,0.990070401848466,986477.616,14159502.987,28.563926080123
"34","Slovenia","Males","medium",54,0.0115358490792879,31,1,490779.832,0.988464150920712,975902.809,13173025.371,26.8395716587475
"35","Slovenia","Males","medium",56,0.0134832600908256,31,1,485122.977,0.986516739909174,963711.806,12197122.562,25.140555146708
"36","Slovenia","Males","medium",58,0.015848328170102,31,1,478588.829,0.984151671829898,949601.25,11233410.756,23.4700089873894
"37","Slovenia","Males","medium",60,0.0187258378631016,31,1,471012.421,0.981274162136898,933218.497,10283809.506,21.8314342462798
"38","Slovenia","Males","medium",62,0.0222333054950311,31,1,462206.076,0.977766694504969,914149.489,9350591.009,20.2283747831251
"39","Slovenia","Males","medium",64,0.0265164963354584,31,1,451943.413,0.973483503664542,891915.041,8436441.52,18.6650423676397
"40","Slovenia","Males","medium",66,0.0317562437162599,31,1,439971.628,0.96824375628374,865990.718,7544526.479,17.1456696171712
"41","Slovenia","Males","medium",68,0.0381768211401242,31,1,426019.09,0.961823178859876,835791.444,6678535.761,15.6742834740203
"42","Slovenia","Males","medium",70,0.0460561173123053,31,1,409772.354,0.953943882687695,800686.794,5842744.317,14.2557509330069
"43","Slovenia","Males","medium",72,0.0557378124020509,31,1,390914.44,0.944262187597949,760067.978,5042057.523,12.8946946633866
"44","Slovenia","Males","medium",74,0.0676456020391706,31,1,369153.538,0.932354397960829,713361.753,4281989.545,11.595195267079
"45","Slovenia","Males","medium",76,0.0822991759850107,31,1,344208.215,0.917700824014989,660143.85,3568627.792,10.3622551979486
"46","Slovenia","Males","medium",78,0.100330980769289,31,1,315935.635,0.899669019230711,600223.237,2908483.942,9.19923519282574
"47","Slovenia","Males","medium",80,0.122501530443471,31,1,284287.602,0.877498469556529,533831.269,2308260.705,8.11120783539104
"48","Slovenia","Males","medium",82,0.149708782955928,31,1,249543.667,0.850291217044072,461837.765,1774429.436,7.10053321584892
"49","Slovenia","Males","medium",84,0.182983298916379,31,1,212294.098,0.817016701083621,385882.634,1312591.671,6.17023873728242
"50","Slovenia","Males","medium",86,0.223454845034479,31,1,173588.536,0.776545154965521,308567.469,926709.037,5.32227534039638
"51","Slovenia","Males","medium",88,0.272267315185776,31,1,134978.933,0.727732684814224,233424.748,618141.568,4.55767222822341
