"","country","sex","edu","age","qx","nr","ax","lx","px","Lx","Tx","ex"
"1","Sweden","Males","low",50,0.00984691717993093,31,1,5e+05,0.990153082820069,995074.16,14412670.661,28.825341322
"2","Sweden","Males","low",52,0.0115310780216003,31,1,495074.16,0.9884689219784,984442.304,13417596.501,27.1009045121863
"3","Sweden","Males","low",54,0.0135595161383849,31,1,489368.144,0.986440483861615,972107.518,12433154.197,25.4042986965879
"4","Sweden","Males","low",56,0.0160059680192212,31,1,482739.374,0.983994031980779,957763.222,11461046.679,23.738791639799
"5","Sweden","Males","low",58,0.0189604018401543,31,1,475023.848,0.981039598159846,941060.832,10503283.457,22.1077930835784
"6","Sweden","Males","low",60,0.0225325373812731,31,1,466036.984,0.977467462618727,921592.541,9562222.625,20.5147404690195
"7","Sweden","Males","low",62,0.0268560726337051,31,1,455555.557,0.973143927366295,898895.492,8640630.084,18.9638308410006
"8","Sweden","Males","low",64,0.0320937196750244,31,1,443339.935,0.967906280324976,872480.621,7741734.592,17.4590247494712
"9","Sweden","Males","low",66,0.0384431411212551,31,1,429140.686,0.961556858878745,841802.759,6869253.971,16.0038961140984
"10","Sweden","Males","low",68,0.0461438447342121,31,1,412662.073,0.953856155265788,806305.264,6027451.212,14.6033074746522
"11","Sweden","Males","low",70,0.0554850214999987,31,1,393643.191,0.944514978500001,765477.718,5221145.948,13.2607583313457
"12","Sweden","Males","low",72,0.066814176341404,31,1,371834.527,0.933185823658596,718854.121,4455668.23,11.9799783506605
"13","Sweden","Males","low",74,0.0805461614346141,31,1,347019.594,0.919453838565386,666117.084,3736814.109,10.7651475985742
"14","Sweden","Males","low",76,0.0971718210040632,31,1,319097.49,0.902828178995937,607227.531,3070697.025,9.61956030442566
"15","Sweden","Males","low",78,0.11726480814101,31,1,288130.041,0.88273519185899,542517.759,2463469.494,8.54588186780539
"16","Sweden","Males","low",80,0.141484121749112,31,1,254387.718,0.858515878250888,472831.514,1920951.735,7.54675912977087
"17","Sweden","Males","low",82,0.170568390273064,31,1,218443.796,0.829431609726936,399682.324,1448120.221,6.62414896579339
"18","Sweden","Males","low",84,0.205315754527656,31,1,181238.528,0.794684245472344,325336.875,1048437.897,5.77909990872667
"19","Sweden","Males","low",86,0.246540322792096,31,1,144098.347,0.753459677207904,252750.824,723101.022,5.01152325556534
"20","Sweden","Males","low",88,0.294992851563616,31,1,108652.477,0.705007148436384,185331.424,470350.198,4.32111758456545
"21","Sweden","Males","low",90,0.351230602543135,31,1,76678.947,0.648769397456865,126520.72,285018.774,3.70706015987104
"22","Sweden","Males","low",92,0.415421968591621,31,1,49841.773,0.584578031408379,79067.351,158498.054,3.16627373522183
"23","Sweden","Males","low",94,0.487081125066495,31,1,29225.578,0.512918874933505,44313.904,79430.703,2.69768355844325
"24","Sweden","Males","low",96,0.564756199631952,31,1,15088.326,0.435243800368048,21753.404,35116.799,2.29698625234657
"25","Sweden","Males","low",98,0.645752287551231,31,1,6665.078,0.354247712448769,9100.908,13363.395,1.9597293362494
"26","Sweden","Males","low",100,0.726057690616531,31,1,2435.83,0.273942309383469,3150.696,4262.487,1.68447773304384
"27","Sweden","Males","low",102,0.800714453639409,31,1,714.866,0.199285546360591,879.415,1111.791,1.46625897836846
"28","Sweden","Males","low",104,0.864809919279054,31,1,164.549,0.135190080720946,193.989,232.376,1.29845577305581
"29","Sweden","Males","low",106,0.914914860012692,31,1,29.44,0.0850851399873079,33.67,38.387,1.18745075065691
"30","Sweden","Males","low",108,0.950250089220851,31,1,4.23,0.0497499107791495,4.717,4.717,1.07275352182934
"31","Sweden","Males","low",110,1,31,NA,0.487,0,0,0,0
"32","Sweden","Males","medium",50,0.00781480631187049,31,1,5e+05,0.99218519368813,996092.965,15475424.712,30.950849424
"33","Sweden","Males","medium",52,0.00915606036051468,31,1,496092.965,0.990843939639485,987645.965,14479331.747,29.1858151668389
"34","Sweden","Males","medium",54,0.0107723766330633,31,1,491553,0.989227623366937,977816.84,13491685.782,27.4454165190326
"35","Sweden","Males","medium",56,0.0127229818459561,31,1,486263.84,0.987277018154044,966346.015,12513868.942,25.7325230220003
"36","Sweden","Males","medium",58,0.0150802726297097,31,1,480082.175,0.98491972737029,952933.38,11547522.927,24.0505856910658
"37","Sweden","Males","medium",60,0.0179327354424808,31,1,472851.205,0.982067264557519,937234.133,10594589.547,22.4027784102989
"38","Sweden","Males","medium",62,0.0213884857775764,31,1,464382.928,0.978611514222424,918846.982,9657355.414,20.7928161513981
"39","Sweden","Males","medium",64,0.0255795358762353,31,1,454464.054,0.974420464123765,897317.169,8738508.432,19.2245482973908
"40","Sweden","Males","medium",66,0.0306669045133505,31,1,442853.115,0.969333095486649,872148.855,7841191.263,17.7020587364828
"41","Sweden","Males","medium",68,0.0368466751934365,31,1,429295.74,0.963153324806563,842787.704,6969042.408,16.2291021716526
"42","Sweden","Males","medium",70,0.0443570802489833,31,1,413491.964,0.955642919751017,808666.351,6126254.704,14.8105881906135
"43","Sweden","Males","medium",72,0.0534866214309117,31,1,395174.387,0.946513378569088,769236.417,5317588.353,13.4500116793918
"44","Sweden","Males","medium",74,0.064583106216587,31,1,374062.03,0.935416893783413,724010.92,4548351.936,12.1518092837351
"45","Sweden","Males","medium",76,0.0780632417407059,31,1,349948.89,0.921936758259294,672632.283,3824341.016,10.9192195143327
"46","Sweden","Males","medium",78,0.0944220214447645,31,1,322683.393,0.905577978555235,614962.57,3151708.733,9.75634206032249
"47","Sweden","Males","medium",80,0.11424046934217,31,1,292279.177,0.88575953065783,551255.418,2536746.163,8.66632901301455
"48","Sweden","Males","medium",82,0.138189241715416,31,1,258976.241,0.861810758284584,482281.555,1985490.745,7.65160522144998
"49","Sweden","Males","medium",84,0.167023958437527,31,1,223305.314,0.832976041562473,409468.467,1503209.19,6.71412027845003
"50","Sweden","Males","medium",86,0.201565771219252,31,1,186163.153,0.798434228780748,334989.688,1093740.723,5.8549565925283
"51","Sweden","Males","medium",88,0.242657491579913,31,1,148826.535,0.757342508420087,261762.33,758751.035,5.07481936928379
"52","Sweden","Males","medium",90,0.291081862615049,31,1,112935.795,0.708918137384951,193251.126,496988.705,4.37320799700537
"53","Sweden","Males","medium",92,0.347425437483896,31,1,80315.331,0.652574562516104,132995.547,303737.579,3.74884800405957
"54","Sweden","Males","medium",94,0.411872147396814,31,1,52680.216,0.588127852603186,83943.327,170742.032,3.20030018241943
"55","Sweden","Males","medium",96,0.483921605966581,31,1,31263.111,0.516078394033419,47663.987,86798.705,2.72428603203923
"56","Sweden","Males","medium",98,0.562059609683693,31,1,16400.876,0.437940390316307,23817.323,39134.718,2.31820712471712
"57","Sweden","Males","medium",100,0.643474386859512,31,1,7416.447,0.356525613140488,10228.027,15317.395,1.97627093161087
"58","Sweden","Males","medium",102,0.724008466204079,31,1,2811.58,0.275991533795921,3684.129,5089.368,1.69548391542935
"59","Sweden","Males","medium",104,0.798604415304769,31,1,872.549,0.201395584695231,1090.967,1405.239,1.47133132789586
"60","Sweden","Males","medium",106,0.862395991629514,31,1,218.418,0.137604008370486,262.619,314.272,1.29145747129862
"61","Sweden","Males","medium",108,0.912173811523341,31,1,44.201,0.0878261884766591,51.653,51.653,1.09015852579065
"62","Sweden","Males","medium",110,1,31,NA,7.452,0,0,0,0
